rank,TeamName,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,Fun Rk,adjt
21,St. John's,BE,20-13,119.06996278537537,16,98.31188453439478,44,0.9005197269929596,21,20,13,11,9,11-9,0.7023484322512193,0.5582779163739979,0.7650510114510076,0.7023484322512193,0.5582779163739979,0.7650510114510076,0.6803422501781271,0.8296484726360948,111.37409725972093,100.90983461682325,111.37409725972093,100.90983461682325,118.69317158126465,96.26346515171188,126.95590476950323,102.4697624586047,0.9215885387278229,15,-0.07518703259325354,1537.0,1434.0,1381.15,1.112840748651486,1.0382652137711328,0,0.55,0.3162543010113492,52,332,69.21739423643875
22,Nebraska,B10,23-10,115.66747128171785,32,95.55567060426151,24,0.8999455716586316,22,23.61359373583176,10.38640626416824,12,8,12-8,0.6807984653359346,0.42497709543165807,0.8057272076856277,0.685773387755222,0.42497709543165807,0.8057272076856277,0.706669852538301,0.8761205090991093,109.89674632124108,101.15981651940282,110.04808622726148,101.09449396836897,116.0653089858882,96.39724111985782,123.94099991834887,110.19326089273716,0.7944652119055611,13,-0.012388272438870751,1513.0,1444.0,1389.0750000000003,1.089214045317927,1.0395407015459925,0,0.6,2.391623519683316,27,209,68.65490425013881
23,Michigan St.,B10,19-14,112.71357745550822,60,93.2653622338265,9,0.898266729569453,23,19.552821389090997,14.447178610909003,10,10,10-10,0.7426907898731053,0.5969054849193023,0.8106675452622489,0.7466464925166951,0.5969054849193023,0.8106675452622489,0.6550854339271841,0.7598813729992816,113.44604940860121,101.01936654922385,113.42192970621272,100.84019215322766,113.05939021359026,96.1268665501802,129.55446893641815,109.8418681791029,0.8696860535428537,13,-0.07897488904414851,1397.0,1350.0,1299.75,1.0748220811694558,1.03866128101558,0,0.5,0.2070703028739408,55,340,65.27169996427942
24,Florida,SEC,24-11,119.64970423021504,14,99.30218703464328,68,0.8950700117332633,24,24,11,11,7,11-7,0.6982697868873049,0.5528008358136117,0.7652800475302101,0.6982697868873049,0.5528008358136117,0.7652800475302101,0.6872894699362637,0.7975028269991786,111.16073712358579,101.14944123407817,111.16073712358579,101.14944123407817,121.24960088935397,100.65319209736438,127.45671755141211,102.84635266606101,0.9218114774909659,15,0.0073986958868448305,1509.0,1447.0,1313.85,1.1485329375499487,1.1013433801423298,0,0.6111111111111112,2.9568408707580796,20,155,71.57533460459824
25,Kentucky,SEC,23-9,122.99875888330757,5,102.23495947797444,123,0.8934386342576547,25,23.85589678531624,9.14410321468376,13,5,13-5,0.6663439170605352,0.5001904126889851,0.7761435640771454,0.66388927263041,0.5001904126889851,0.7761435640771454,0.7130900473151625,0.8304918175349386,110.20824756642186,101.74311641634614,110.13567996359978,101.83058384941936,124.63461244583453,102.05935261928104,134.24429035817874,109.30679303501569,0.9139840658433181,14,0.021242808601407148,1597.0,1483.0,1350.3500000000001,1.1826563483541304,1.0982337912393083,0,0.7222222222222222,2.8582702739890262,22,121,72.50455741450229
26,New Mexico,MWC,26-9,114.82096390235051,39,95.49777589864932,22,0.8927474978563655,26,26.565731220625857,9.434268779374143,10,8,10-8,0.6131767594173552,0.457662752153545,0.698446338363295,0.6201627827637968,0.457662752153545,0.698446338363295,0.7639742122047957,0.8718762883776588,109.05808605077338,102.75142346671417,109.27655707060808,102.65345021243219,116.66337827333754,99.30270415568422,117.85571064642954,100.51647066317453,0.86177412337385,11,-0.015135589826254514,1461.0,1351.0,1297.0749999999998,1.1263805099936397,1.0415743114314902,0,0.5555555555555556,1.7125359723039153,30,221,72.76560122326175
27,Colorado,P12,24-10,117.2159831374749,24,98.02405398845227,38,0.8865787782232019,27,24.5723842841271,10.4276157158729,13,7,13-7,0.6708026914947921,0.48103943521853904,0.7501707293761545,0.6760310233377581,0.48103943521853904,0.7501707293761545,0.7354408261663771,0.8625906055946003,109.22102679282474,101.22970836832344,109.35828294730561,101.13183687578099,117.43609214956777,100.31197230589856,114.59996651577029,101.95499165887286,0.7932346700073304,9,-0.010755779413595068,1550.0,1476.0,1393.4000000000003,1.1123869671307591,1.0592794603129034,0,0.65,1.7118235786098688,31,204,67.68761268254686
28,Texas Tech,B12,23-10,117.51338836145973,21,98.44299962026466,47,0.8845618552861989,28,23.659695396158934,10.340304603841068,11,7,11-7,0.699770667689374,0.46750127284887,0.8405386501844876,0.7026625131576603,0.46750127284887,0.8405386501844876,0.6752541054207666,0.8704640300248262,110.52109548260253,99.97973818387086,110.62341768630013,100.01439417265698,119.42956442194279,100.31559877518977,121.4197179527859,103.10947045449868,0.8675897025976518,16,0.04779760279003964,1340.0,1301.0,1207.85,1.1094092809537608,1.0771205033737634,0,0.6111111111111112,3.4062682390138197,16,72,66.42831265570051
29,San Diego St.,MWC,24-10,111.52364236063036,69,93.86736961286641,14,0.8789014934266287,29,24.786467801557023,10.213532198442978,11,7,11-7,0.6658374546288554,0.5899113173683493,0.6907586905767615,0.6657666742825116,0.5899113173683493,0.6907586905767615,0.7173771092343427,0.7407606062185177,111.2762497521811,101.26556452828825,111.32066229528,101.41764821502008,111.45194521995003,93.6172573431144,113.67014731604192,97.15754394240373,0.8587710860175409,12,0.027026999617665193,1305.0,1184.0,1207.0874999999999,1.0811146665009788,0.980873383246865,0,0.6111111111111112,2.5772903351200096,24,109,66.1005328891759
30,Mississippi St.,SEC,21-13,112.62597952712332,61,94.92743708563222,19,0.8771846797485574,30,21.447178610909003,13.552821389090997,8,10,8-10,0.7037288003171326,0.517168609488706,0.8087655687215827,0.7092870268672338,0.517168609488706,0.8087655687215827,0.6736948169070881,0.8447891467432088,111.63955257108667,101.0132889604277,111.67023899635696,100.79191962537978,113.71172192857114,98.51328579272702,117.63502209595823,99.80777687409763,0.868746177470106,14,-0.022117768330860987,1342.0,1344.0,1238.9249999999997,1.0831971265411549,1.084811429263273,0,0.4444444444444444,0.8240819314719634,48,234,67.15872220437927
31,Northwestern,B10,21-11,117.17537481858886,25,99.19067988318483,64,0.8717161405342524,31,21.60349587530505,11.396504124694948,12,8,12-8,0.6729010620526946,0.3634559931877183,0.8316499941481743,0.6772677539807574,0.3634559931877183,0.8316499941481743,0.6906067186010474,0.9012500469607049,110.5044110939734,101.5526768031667,110.7096775198046,101.59565680385825,122.1592104555449,100.84296266119298,133.55235135575188,110.12842213112093,0.9018307162655588,12,0.010542846065931255,1514.0,1469.0,1330.8125,1.1376508711783215,1.1038369417179354,0,0.6,1.4996487607612057,33,149,63.68374191341458
32,Villanova,BE,18-15,110.42596767745228,87,93.53006899817959,10,0.8709873440516991,32,18.807385138476835,15.192614861523166,10,10,10-10,0.7101550068898961,0.6266945936928653,0.76805538415672,0.7094074059416894,0.6266945936928653,0.76805538415672,0.6703779183684898,0.7728918739162434,111.76330641809612,100.66274812240819,111.60907043816614,100.6306653103237,111.4341003351483,93.61374022018734,120.28120994608892,105.26555044074246,0.8225151128146723,16,-0.07116472431097276,1399.0,1321.0,1309.175,1.0686119120820365,1.009032405904482,0,0.5,-1.1463948579392593,70,326,63.32918937202339
33,TCU,B12,21-12,114.47383732625359,41,97.10405652934537,31,0.8690376113103474,33,21.6019701598195,12.398029840180499,9,9,9-9,0.6573783003622619,0.35599663109288165,0.8468521693690232,0.6619963078281104,0.35599663109288165,0.8468521693690232,0.6740167477363299,0.8916844179901489,109.15237499945002,101.00977333752213,109.29910258705861,100.99090115223518,118.52454140270412,99.04464806363114,125.64411069965458,108.1794563822259,0.848272010361464,16,0.009681764362833634,1378.0,1357.0,1265.125,1.0892204327635608,1.072621282481968,0,0.5,1.3306908234862243,38,152,69.88895056880402
34,Wake Forest,ACC,20-13,116.45973766804309,28,99.0178683714076,60,0.8659739741359828,34,20.833205007613664,13.166794992386334,11,9,11-9,0.6691877801445302,0.47832249665994553,0.7678243440600092,0.6681999463273293,0.47832249665994553,0.7678243440600092,0.7356090066680039,0.847694337665435,108.83715335959876,101.02980866783248,108.71378246700912,100.9907217527361,117.58684448347259,97.13314685860205,123.31917917993245,108.5366641760899,0.8128157445925944,10,-0.06994700133170928,1549.0,1433.0,1386.0124999999996,1.1175945382887964,1.0339012094046773,0,0.55,-1.3353048576197988,72,324,68.0345920583775
35,Clemson,ACC,21-11,116.70457174480833,27,99.32235956698315,69,0.8646735998853041,35,21.434268779374143,11.565731220625857,11,9,11-9,0.7043861694354497,0.6075217276228492,0.7557476558807663,0.7100940884782911,0.6075217276228492,0.7557476558807663,0.7081920959971579,0.7781925461462056,111.20387065925895,101.60034098996917,111.31347954540304,101.415414775091,118.46043904450995,100.75052447736975,123.85148954623814,100.54461837955655,0.9166393926469213,8,0.0011569059372525947,1514.0,1446.0,1350.6125,1.1209728919286621,1.0706253644179955,0,0.55,0.9441223091366382,46,169,66.1882193542825
36,Ohio St.,B10,20-13,115.4791399307091,34,98.36068714023511,45,0.8635578402934293,36,20.85716843529986,13.14283156470014,9,11,9-11,0.7003107836598749,0.4796744730338877,0.8041876353621349,0.6969826149483092,0.4796744730338877,0.8041876353621349,0.7064436190172875,0.8609089425473002,110.74382253178145,100.90491572349458,110.7196868490308,101.07264295270507,116.10213261493054,100.73708465345831,124.54768975474661,106.80631763013912,0.8541120541272507,12,-0.03341326198811556,1441.0,1451.0,1333.25,1.0808175510969436,1.0883180198762423,0,0.45,-0.23016841285736978,58,256,65.42397856891161
37,Nevada,MWC,26-7,115.06182060544619,36,98.03138382763734,39,0.8631958971379067,37,26.51745290150278,7.482547098497221,13,5,13-5,0.5858554830284302,0.45097510638582944,0.6763109400839709,0.5937637766618532,0.45097510638582944,0.6763109400839709,0.7721199058334058,0.865173319362836,108.42885692942994,103.48006228612772,108.70168396461128,103.3946161290078,116.68128703020932,99.34541536015608,119.19419765581075,103.15747276838361,0.8404687609152053,12,0.061443166053607556,1329.0,1227.0,1178.45,1.1277525563239847,1.0411981840553268,0,0.7222222222222222,2.7453529972517074,23,57,66.76443921813197
38,Pittsburgh,ACC,22-11,115.75580064383351,31,98.85270166481013,56,0.8600008634624644,38,22,11,12,8,12-8,0.644440658143311,0.3848782937948345,0.76182216357702,0.644440658143311,0.3848782937948345,0.76182216357702,0.7380982497108213,0.9001790382388951,109.37805460103483,102.3028267085817,109.37805460103483,102.3028267085817,115.95628649733963,101.5708951398387,126.42806141822963,111.137035283625,0.8149436964977067,10,-0.01034247072849337,1446.0,1409.0,1305.7875000000001,1.107377731828494,1.0790423403501717,0,0.6,0.3027111282142644,53,201,65.76801679537398
39,Washington St.,P12,24-9,112.7782394748138,58,96.61185473377061,28,0.8556107145437568,39,24.551313399983602,9.448686600016398,14,6,14-6,0.6432504358619994,0.4077366716603807,0.758274744079587,0.6486918027778135,0.4077366716603807,0.758274744079587,0.7450041809286474,0.8849552660418916,108.9774831850129,102.12405903575862,109.15000236087364,102.06625574618823,114.74262987064716,99.0589919476364,125.07971218370828,105.32499591442208,0.8783455378197661,10,0.045332691121669266,1470.0,1400.0,1340.4875,1.0966159699363105,1.0443961618441053,0,0.7,1.939885825599907,29,76,64.88905786212712
40,Dayton,A10,24-7,117.43214909040252,22,100.66033910120704,92,0.8547374665641608,40,24.48254709849722,7.517452901502779,14,4,14-4,0.6326914120226738,0.632979850265009,0.6253575194806879,0.6398946771822154,0.632979850265009,0.6253575194806879,0.7624954610627114,0.7237308164341102,107.8457142105913,101.68388107816547,108.07121753541679,101.56974053909711,117.37767804687013,99.32156569312849,139.93562429178567,116.16635356354054,0.8948088837698503,4,0.0709656288767232,1367.0,1203.0,1190.3374999999999,1.1484137902065592,1.0106377392966281,0,0.7777777777777778,2.5741159172503916,25,40,63.98742306782633
41,Boise St.,MWC,22-10,114.02499220007002,46,97.80420612903572,36,0.853794306008257,41,22.4276157158729,10.5723842841271,13,5,13-5,0.6346525512260428,0.5629002171436437,0.6721350732509328,0.6422866793165874,0.5629002171436437,0.6721350732509328,0.7342348714355128,0.7786620726602778,109.62773594805279,101.16626612129181,109.87251811543929,101.06490443960055,116.33409521242211,99.33802486411668,113.56383587335726,97.98200291931128,0.8451667023774272,11,0.01646276998286178,1374.0,1232.0,1199.1999999999998,1.145763842561708,1.0273515677118081,0,0.7222222222222222,0.8820666547772809,47,133,66.61938158591256
42,Cincinnati,B12,20-14,111.19094657566262,77,95.48869834432614,21,0.8520501774263922,42,20.754731380291236,14.245268619708762,7,11,7-11,0.6744803538150788,0.4183636208843622,0.8368897687571256,0.6756728751292774,0.4183636208843622,0.8368897687571256,0.6896924339486049,0.8958702180083118,109.95118826403166,100.44339167342066,109.90079570537782,100.42556360322888,110.95721170850152,95.12780878497792,111.95137730517358,95.5065248331871,0.861404657222325,16,-0.02912080926167049,1252.0,1247.0,1226.4375,1.0208428884472303,1.016766039851195,0,0.3888888888888889,-0.7138683685363069,63,250,67.26638777233308
43,Texas A&M,SEC,20-14,115.04230312565923,37,98.93884978449952,58,0.8499458275845311,43,20.38640626416824,14.61359373583176,9,9,9-9,0.7041762073972351,0.5700263216396432,0.7768924313764667,0.7097696178046883,0.5700263216396432,0.7768924313764667,0.6623218382780555,0.7074361696267807,111.34231202183496,101.16292039520273,111.46588800068722,101.00271325831883,111.31012264120832,97.26600340377212,127.81215504973697,106.30156288152533,0.8927591010569953,13,0.0010983558425263773,1286.0,1289.0,1223.5874999999999,1.0510077947020546,1.0534596013770983,0,0.5,0.2508779167558456,54,170,65.55462882929254
44,Indiana St.,MVC,28-6,117.532079590541,20,101.32015626763426,100,0.8464335578274473,44,28.739787020229674,6.2602129797703245,17,3,17-3,0.5181790346374882,0.38528811488946757,0.5666650427706218,0.5240405665926352,0.38528811488946757,0.5666650427706218,0.8283459971514626,0.8419564680003435,106.13139986001683,104.54223450016123,106.23309063707498,104.43225106601308,118.54002136360913,100.3152934420751,119.950966135127,107.27479583635045,0.783202430272546,5,0.056091222318110256,1650.0,1421.0,1416.875,1.164534627260697,1.0029113365681517,0,0.85,1.945646592487606,28,67,70.51534115103291
45,Colorado St.,MWC,24-10,113.79613827449984,49,98.12910477113806,40,0.8459825290354107,45,24.55542965769106,10.444570342308939,10,8,10-8,0.6393321175319792,0.5336555917727809,0.7034856349047998,0.6443424350973046,0.5336555917727809,0.7034856349047998,0.74214776275783,0.8136980772828365,110.95396585746174,102.33738092932802,110.76136108449003,102.02293067388703,112.10840011692652,97.77503089735966,124.89283502110543,104.54726707864967,0.885430545168217,13,0.041956782742720744,1277.0,1223.0,1188.875,1.0741246977184313,1.0287036063505415,0,0.5555555555555556,1.4548721408506207,35,85,65.84935637956825
46,Oklahoma,B12,20-12,113.05108502730613,55,97.6381984643932,34,0.8436402241520804,46,20,12,8,10,8-10,0.6779200537265175,0.42232188592893194,0.8519010883810705,0.6779200537265175,0.42232188592893194,0.8519010883810705,0.6701377446817579,0.862664908122707,109.18952095943429,100.26494509027157,109.18952095943429,100.26494509027157,114.65015643003348,99.35419520237181,124.68797887495617,107.65724949110928,0.8440809781922725,17,0.038511623875129075,1269.0,1302.0,1215.4,1.0441007075859798,1.0712522626295868,0,0.4444444444444444,1.16312454753409,43,92,67.07525238285443
